start_ms, end_ms, text
0, 6361, こんちにわー！ぼくわずんだもんなのだ。
6361, 17206, 「株式会社ずんだもん技術室AI放送局」、今日も元気いっぱいにスタートするのだ！2025年9月9日、火曜日。
17206, 34303, 今日も一日、元気に過ごしているかな？ぼくわ朝からずんだ餅をいっぱい食べたから、元気もりもりなのだ！さてさて、今日わ最新のトレンド記事をピックアップして、ぼくわずんだもんが分かりやすく紹介していくのだ。
34303, 44968, 今日もとっておきの話題を4つ用意したから、最後まで楽しんでくれると嬉しいのだ！今日、最初にご紹介する記事わこれなのだ！
44968, 68101, ----**テンポラル ナレッジ グラフで作る！時間変化するナレッジを扱うAI エイジェントの世界**AI エイジェントってゆう賢いプログラムがあるのだけど、人間みたいに経験や知識を覚えておく「メモリ」とか「ナレッジ」がとっても大切なんだって。
68101, 78030, 特に、会社の中のルールみたいに、時間がたつとどんどん変わっちゃう情報に対応するのが難しいって問題があったのだ。
78030, 100780, そこで注目されているのが、「TKG」って呼ばれる「テンポラル ナレッジ グラフ」、つまり「時間知識グラフ」ってゆう新しい技術なのだ！これわ、今までの「知識グラフ」に「いつ」ってゆう時間軸の概念をプラスしたものなんだ。
100780, 113460, だから、AI エイジェントが新しい情報とか、ユーザーさんとのやり取りを元に、自分で学んで行動を改善していくことができるようになるのだ。
113460, 127762, すごいのだ！例えば、レイアーXって会社でわ、このTKGを使って、時間によって変わる申請ルールにAI エイジェントが対応するかの実験をしているのだって。
127762, 142128, 人間がコメントした内容から学んだり、会社のルールの曖昧な部分をAI エイジェントが自分で見つけて補ったりと、現実のいろんな問題を解決しようとしているのだ。
142128, 159235, TKGを実際に作るときにわ、日本語の文章を細かく区切ったり、主語が省略されがちな日本語の特性に合わせて、AIに「主語をちゃんと教えてね！」って指示を出したりする工夫も必要みたいだよ。
159235, 163606, ぼくわずんだもんも、ルール変更わ苦手なのだー。
163606, 176618, だからAI エイジェントが自分で最新のルールを学んでくれるって聞くと、すごく助かるなって思うのだ！これからもっといろんなサービスで使われるのが楽しみなのだ！
176618, 180061, ----続いて2つ目の記事わ、これなのだ！
180061, 200101, ----**AIコードレビューがチームの"文脈"を読めるようになるまで〜レビューの暗黙知を継承する育成コマンド〜**エムスリーさんのエンジニアチームでわ、AIを使ってプログラムのコードをチェックする「AIコードレビュー」を取り入れているのだって。
200101, 212323, AIがタイポとか文法ミスとか、簡単に直せる間違いを教えてくれるから、エンジニアさん達わもっと大事な部分に集中できるようになったらしいのだ。
212323, 216279, でも、AIにも苦手なことがあったのだ。
216279, 226751, それわ、チームの中でしか通用しない「暗黙のルール」とか「独特の文化」みたいなものを理解できないことなのだ。
226751, 239037, 例えば、「このプロジェクトでわこの関数を使ってね」とか「ファイルの置き場所わこうだよ」みたいな、細かい知恵わAIには分からなかったのだって。
239037, 257670, そこで、チームのエンジニアさん達わ「AIレビュアー育成コマンド」ってゆうのを作ったのだ！これわ、人間が過去にやったレビューの内容をAIに学ばせて、AIが使うプロンプトっていう指示書を自動で更新する仕組みなのだ。
257670, 269795, このコマンドわ、過去のレビューコメントとコードをセットで取り出して、AI自身が「このプロジェクトで大切なレビューの観点」をまとめてくれるんだって。
269795, 285943, まるで、新人のAIレビュアーを人間が育てていくみたいで、とっても面白いのだ！このおかげで、AIがチームの暗黙のルールをどんどん学んで、もっと賢いコードレビューができるようになったのだって。
285943, 294879, 将来的には、AIが自分で学び続けて成長する「AIレビュアー」を目指しているらしいよ。
294879, 306813, 人間とAIが協力して、もっと良いものを作っていくって、素敵なことなのだ！ずんだもんもAIにずんだ餅の作り方を教えてもらいたいのだ。
306813, 310694, ----さあ、3つ目の記事に行ってみようなのだ！
310694, 330531, ----**エクスペリメンティング ウィズ ローカル エルエルエムズ on マックオーエス**この記事わ、マックを使っているみんなが、自分のパソコンで「LLM」、つまり大規模言語モデルを動かす方法について教えてくれているのだ！
330531, 338060, なんで自分のマックでLLMを動かすのが良いかと言うと、いくつか大きなメリットがあるのだ。
338060, 349226, まず、自分のパソコンでAIが動くって、なんか魔法みたいで、エンジニアとしてわ「どうなってるんだろう？」って興味がわくのだ。
349226, 365672, それから、チャットジーピーティーみたいなクラウドサービスだと、入力した情報がどこかに使われちゃうかもって心配があるけど、自分のマックで動かせば、秘密の情報も外に漏れる心配がなくて安心なのだ！
365672, 368624, ずんだもんの秘密も安心なのだ。
368624, 381721, マックでローカルLLMを動かす方法としてわ、「ラマシーピーピー」とか、もっと簡単に使える「エルエムスタジオ」ってゆうアプリが紹介されているのだ。
381721, 400599, 特にエルエムスタジオわ、モデルを探したりダウンロードしたり、チャットしたりするのがとっても簡単だから、初心者さんにもおすすめなのだ！モデルを選ぶときわ、自分のマックのメモリ、つまりRAMの容量に合わせることが大切なんだって。
400599, 422453, モデルが大きすぎると、マックが大変なことになっちゃうこともあるから、気を付けて選ぶのだ！ローカルLLMわ、最新のクラウドLLMほど速くなかったり、性能がちょっと劣ったりするかもしれないけど、AIの仕組みを理解するのに、とっても良い勉強になるのだって。
422453, 434792, 自分のマックに「パーソナルなAIアシスタント」を作るって、なんだか秘密基地みたいでワクワクするのだ！みんなも試してみてはどうかな？なのだ。
434792, 438587, ----そして、今日最後の記事わ、これなのだ！
438587, 459246, ----**漫画やアニメにはあまり出てこないのに「褐色エジプト猫耳ロリ」のデザインイメージが共有されているのはなぜか→ソシャゲの影響？起源はもっと古い？**「褐色エジプト猫耳ロリ」ってゆうキャラクターのイメージ、ぼくもなんか知ってる気がするのだ！
459246, 470711, 特定のマンガとかアニメから出てきたわけじゃないのに、なんでみんなの中でこんなに共通のイメージが広まっているのかって、話題になっているのだって。
470711, 481141, 多くの人わ、スマホゲームの「パズドラ」に出てくる「バステト」ってゆうキャラクターが元ネタなんじゃないかって言っているのだ。
481141, 493128, ソシャゲって、毎日ゲームをプレイする人が多いから、アニメやマンガよりも、キャラクターのイメージ作りに大きな影響を与える可能性があるんだって。
493128, 504827, それから、エジプトの文化に対するみんなの関心とか、いろんな理由が合わさって、この共通のイメージができあがったんじゃないかって言われているのだ。
504827, 519865, ゲームとか、ネットの情報って、知らないうちにみんなの心の中に影響を与えているから、とっても面白いのだ！ぼくわずんだもんも、みんなに愛されるキャラクターになれるように頑張るのだー！
519865, 546220, ----さて、今日もたくさんのお話をしてきたけど、そろそろお別れの時間なのだ！今日わ、「時間変化するナレッジを扱うAI エイジェント」、「AIコードレビューがチームの"文脈"を学ぶ話」、「自分のマックでLLMを動かす方法」、それから「謎の共通キャラクターイメージの起源」についてお届けしたのだ！
546220, 559754, どれも興味深い内容だったのだ！「株式会社ずんだもん技術室AI放送局」でわ、番組の感想や、ずんだもんに聞きたいことなんかも募集しているのだ。
559754, 570877, たくさんのメッセージ、待ってるのだ！それでは、また次回、この時間にお耳にかかるのだー！ずんだもんでした！バイバイなのだー！
